Customer_Name,Customer_Segment,Product_Sub_Category,Total Sales
Craig Leslie,Consumer,Copiers and Fax,21141.07
Clay Cheatham,Small Business,Office Machines,21134.71
Matthew Grinstein,Small Business,Copiers and Fax,21046.74
Chuck Clark,Corporate,Office Machines,20864.26
Muhammed Yedwab,Consumer,Tables,20783.1
Dan Campbell,Corporate,Tables,20701.93
Ben Wallace,Home Office,Tables,20596.58
Erica Bern,Small Business,Tables,20333.82
Janet Martin,Corporate,Office Machines,20329.8
Paul Van Hugh,Corporate,Office Machines,20265.22
Erin Mull,Corporate,Binders and Binder Accessories,20175.48
Ken Heidel,Corporate,Office Machines,19817.12
Olvera Toch,Home Office,Binders and Binder Accessories,19728.09
Laurel Workman,Home Office,Office Machines,19707.2
Becky Pak,Corporate,Chairs & Chairmats,19570.19
Ellis Ballard,Corporate,Office Machines,19539.94
Patrick Ryan,Corporate,Storage & Organization,19499.15
Denny Joy,Corporate,Copiers and Fax,19461.8
Jamie Kunitz,Corporate,Binders and Binder Accessories,19417.55
Todd Boyes,Consumer,Chairs & Chairmats,19342.84
Bill Tyler,Consumer,Bookcases,19269.05
Sanjit Chand,Home Office,Copiers and Fax,19109.61
Anthony O'Donnell,Corporate,Office Machines,19100.45
Roger Demir,Consumer,Office Machines,19014.24
Carlos Soltero,Consumer,Tables,18824.42
Dorothy Wardle,Corporate,Office Machines,18801.68
Liz Willingham,Home Office,Chairs & Chairmats,18561.31
Jason Klamczynski,Home Office,Tables,18421.2
Helen Wasserman,Home Office,Tables,18380.74
Chris Cortes,Consumer,Office Machines,18291.98
Jim Radford,Corporate,Storage & Organization,18235.47
John Lucas,Small Business,Storage & Organization,18233.04
Harold Ryan,Home Office,Binders and Binder Accessories,18179.5
Alejandro Grove,Consumer,Binders and Binder Accessories,18092.66
Meg O'Connel,Corporate,Tables,18056.68
Chad Sievert,Corporate,Office Machines,18028.07
Michael Chen,Consumer,Telephones and Communication,17953.2
Benjamin Venier,Small Business,Tables,17888.44
Marc Crier,Corporate,Office Machines,17885.16
Lycoris Saunders,Corporate,Tables,17884.53
Philip Brown,Corporate,Office Machines,17717.34
Clay Cheatham,Small Business,Copiers and Fax,17605.77
Dario Medina,Small Business,Copiers and Fax,17599.39
John Lucas,Small Business,Chairs & Chairmats,17560.95
Filia McAdams,Small Business,Chairs & Chairmats,17426.49
Charles McCrossin,Corporate,Copiers and Fax,17387.65
Mary Zewe,Corporate,Office Machines,17304.85
Tony Sayre,Small Business,Copiers and Fax,17279.62
Brendan Sweed,Consumer,Office Machines,17274.87
Luke Foster,Corporate,Tables,17248.09
Jill Stevenson,Consumer,Binders and Binder Accessories,17146.41
Frank Merwin,Consumer,Storage & Organization,17129.97
Henry Goldwyn,Small Business,Chairs & Chairmats,17110.17
Bill Donatelli,Corporate,Chairs & Chairmats,17047.95
Harold Dahlen,Corporate,Copiers and Fax,17034.92
Ionia McGrath,Small Business,Binders and Binder Accessories,16949.44
Paul Van Hugh,Consumer,Tables,16886.76
Sean Miller,Small Business,Copiers and Fax,16743.76
Lisa DeCherney,Corporate,Chairs & Chairmats,16622.67
Linda Southworth,Consumer,Storage & Organization,16598.76
Tamara Dahlen,Corporate,Office Machines,16587.13
Grant Carroll,Corporate,Chairs & Chairmats,16483.8
Patrick Bzostek,Consumer,Chairs & Chairmats,16451.33
Liz MacKendrick,Corporate,Binders and Binder Accessories,16359.73
Karen Carlisle,Corporate,Binders and Binder Accessories,16343.14
Katharine Harms,Consumer,Chairs & Chairmats,16313.51
Naresj Patel,Corporate,Office Machines,16259.07
Giulietta Dortch,Consumer,Copiers and Fax,16193.16
Steven Ward,Consumer,Office Machines,16172.44
Magdelene Morse,Home Office,Chairs & Chairmats,16090.19
Lena Creighton,Home Office,Tables,16077.07
Rick Reed,Consumer,Office Machines,16066.85
Scott Cohen,Consumer,Tables,16028.26
Ricardo Emerson,Corporate,Appliances,16002.29
Justin MacKendrick,Corporate,Computer Peripherals,15968.93
Rick Reed,Consumer,Chairs & Chairmats,15963.09
Corey Lock,Home Office,Tables,15898.58
Sylvia Foulston,Corporate,Chairs & Chairmats,15871.06
Philip Brown,Corporate,Chairs & Chairmats,15849.85
Christopher Martinez,Small Business,Bookcases,15827.33
Noel Staavos,Home Office,Office Machines,15823.27
Cynthia Delaney,Corporate,Telephones and Communication,15747.09
Jennifer Patt,Home Office,Office Machines,15746.3
Alan Haines,Consumer,Binders and Binder Accessories,15668.99
Justin Ellison,Home Office,Storage & Organization,15655.24
Bart Watters,Corporate,Office Machines,15602.93
Jim Sink,Corporate,Tables,15468.22
Katherine Murray,Home Office,Office Machines,15464.01
Russell Applegate,Home Office,Binders and Binder Accessories,15383.7
Christine Abelman,Corporate,Tables,15341.46
Cari MacIntyre,Corporate,Tables,15337.12
Robert Barroso,Small Business,Office Machines,15260.78
Carlos Daly,Home Office,Office Machines,15251.5
Frank Hawley,Home Office,Office Machines,15227.63
Katrina Willman,Consumer,Tables,15203.29
Barry Franz,Corporate,Office Machines,15183.81
Victoria Wilson,Home Office,Tables,15168.82
Benjamin Farhat,Home Office,Office Machines,15152.55
Michelle Moray,Corporate,Office Machines,15137.11
Christina Anderson,Corporate,Copiers and Fax,14981.74
Denise Leinenbach,Corporate,Tables,14922.16
Darren Budd,Consumer,Office Furnishings,14903.3
Christine Abelman,Corporate,Binders and Binder Accessories,14809.64
Craig Molinari,Small Business,Storage & Organization,14805.67
Edward Nazzal,Small Business,Appliances,14775.09
Katrina Bavinger,Home Office,Chairs & Chairmats,14740.51
Harold Engle,Home Office,Tables,14729.36
Matt Abelman,Home Office,Chairs & Chairmats,14665.94
Philip Brown,Home Office,"Scissors, Rulers and Trimmers",14665.55
Chloris Kastensmidt,Consumer,Bookcases,14665.15
Emily Grady,Home Office,Binders and Binder Accessories,14651.74
Victoria Wilson,Home Office,Copiers and Fax,14647.26
Erica Smith,Small Business,Appliances,14588.28
Liz MacKendrick,Corporate,Chairs & Chairmats,14567.15
Michael Nguyen,Small Business,Office Machines,14556.67
Maria Zettner,Corporate,Office Machines,14535.8
Peter Fuller,Consumer,Tables,14493.84
Cari MacIntyre,Corporate,Copiers and Fax,14475.74
Emily Ducich,Consumer,Chairs & Chairmats,14377.78
John Stevenson,Small Business,Copiers and Fax,14300.26
Patrick Bzostek,Consumer,Copiers and Fax,14240.76
Edward Hooks,Consumer,Chairs & Chairmats,14223.82
Logan Haushalter,Corporate,Binders and Binder Accessories,14099.66
Nick Crebassa,Corporate,Telephones and Communication,14076.52
Robert Barroso,Small Business,Chairs & Chairmats,14072.64
Mitch Willingham,Corporate,Copiers and Fax,13934.53
Heather Kirkland,Home Office,Storage & Organization,13932.6
Ed Braxton,Consumer,Office Machines,13905.88
Bill Overfelt,Corporate,Tables,13863.34
Helen Wasserman,Home Office,Telephones and Communication,13836.03
Edward Nazzal,Home Office,Chairs & Chairmats,13801.32
Rick Wilson,Consumer,Telephones and Communication,13736.45
Matt Abelman,Home Office,Tables,13701.35
Cyra Reiten,Consumer,Copiers and Fax,13698.96
John Castell,Small Business,Office Machines,13671.94
Nora Pelletier,Home Office,Copiers and Fax,13571.7
Alejandro Grove,Corporate,Chairs & Chairmats,13552.24
Duane Huffman,Consumer,Chairs & Chairmats,13465.44
Anne Pryor,Home Office,Tables,13389.1
William Brown,Home Office,Binders and Binder Accessories,13349.95
Edward Hooks,Consumer,Office Machines,13305.95
Joy Smith,Corporate,Chairs & Chairmats,13298.63
Aaron Hawkins,Home Office,Chairs & Chairmats,13255.93
Nicole Brennan,Consumer,Office Machines,13253.93
Shahid Shariari,Corporate,Tables,13244.04
Dave Kipp,Consumer,Office Machines,13159.94
Dianna Arnett,Home Office,Office Furnishings,13159.54
Pauline Chand,Small Business,Office Furnishings,13159.54
Doug Bickford,Small Business,Tables,13104.99
Alan Dominguez,Corporate,Office Machines,13070.2
John Murray,Small Business,Chairs & Chairmats,12979.1
Luke Schmidt,Home Office,Chairs & Chairmats,12908.4
Cindy Chapman,Consumer,Tables,12837.11
Carlos Daly,Corporate,Telephones and Communication,12815.47
Mike Caudle,Corporate,Binders and Binder Accessories,12805.25
Darrin Sayre,Consumer,Storage & Organization,12741.81
Mark Van Huff,Home Office,Storage & Organization,12723.95
Matt Abelman,Consumer,Tables,12689.87
Paul Knutson,Corporate,Telephones and Communication,12626.21
Brendan Dodson,Corporate,Copiers and Fax,12616.2
Ken Brennan,Home Office,Storage & Organization,12586.19
Karl Brown,Corporate,Appliances,12569.31
Greg Hansen,Home Office,Binders and Binder Accessories,12560.52
Harold Engle,Home Office,Bookcases,12450.48
Darren Budd,Corporate,Chairs & Chairmats,12418.76
Janet Lee,Consumer,Office Machines,12343.07
Erica Bern,Corporate,Copiers and Fax,12335.23
Brenda Bowman,Small Business,Chairs & Chairmats,12296.49
Matt Connell,Corporate,Binders and Binder Accessories,12270.3
Patrick Jones,Home Office,Computer Peripherals,12260.49
Rick Wilson,Corporate,Appliances,12237.92
Maxwell Schwartz,Corporate,Office Machines,12215.43
Dennis Kane,Small Business,Chairs & Chairmats,12176.39
Joy Bell,Home Office,Chairs & Chairmats,12175.82
Pauline Webber,Consumer,Office Machines,12125.14
Quincy Jones,Corporate,Office Machines,12113.88
Mike Vittorini,Small Business,Office Machines,12086.21
Greg Maxwell,Home Office,Chairs & Chairmats,12072.9
Stuart Van,Consumer,Storage & Organization,12070.44
Randy Bradley,Corporate,Bookcases,12043.88
Carl Ludwig,Corporate,Copiers and Fax,12028.23
Ricardo Block,Corporate,Bookcases,12005.26
Alan Schoenberger,Corporate,Binders and Binder Accessories,11904.33
Bradley Drucker,Small Business,Office Furnishings,11895.32
Dorris Love,Home Office,Computer Peripherals,11883.2
Katherine Nockton,Home Office,Tables,11871.92
Toby Carlisle,Home Office,Copiers and Fax,11829.4
Jasper Cacioppo,Home Office,Copiers and Fax,11815.51
Alex Avila,Home Office,Telephones and Communication,11764.66
Art Miller,Corporate,Bookcases,11764.25
Patrick Gardner,Consumer,Appliances,11747.97
Charles Crestani,Consumer,Telephones and Communication,11719.04
Scott Cohen,Consumer,Office Machines,11695.05
Frank Atkinson,Corporate,Tables,11674.97
James Lanier,Corporate,Appliances,11613.13
Sung Pak,Small Business,Binders and Binder Accessories,11609.43
Erin Creighton,Corporate,Telephones and Communication,11605.01
Christy Brittain,Consumer,Chairs & Chairmats,11605
Grant Donatelli,Consumer,Tables,11558.17
Sibella Parks,Small Business,Telephones and Communication,11544.14
Joni Blumstein,Home Office,Office Machines,11532.99
Hilary Holden,Corporate,Office Furnishings,11500.16
Quincy Jones,Home Office,Office Machines,11481.03
Lela Donovan,Corporate,Binders and Binder Accessories,11419.07
Larry Tron,Home Office,Chairs & Chairmats,11336.37
Jim Sink,Corporate,Telephones and Communication,11300.8
Tamara Willingham,Home Office,Tables,11299.69
Maureen Gastineau,Consumer,Tables,11278.18
Ed Ludwig,Consumer,Office Machines,11277.05
James Lanier,Corporate,Chairs & Chairmats,11266.4
Stephanie Ulpright,Consumer,Chairs & Chairmats,11262.04
Jas O'Carroll,Corporate,Tables,11230.25
Lela Donovan,Corporate,Appliances,11192.6
Rick Duston,Corporate,Binders and Binder Accessories,11169.95
Ritsa Hightower,Corporate,Bookcases,11147.93
Cynthia Arntzen,Small Business,Bookcases,11127.49
Sean Wendt,Corporate,Storage & Organization,11103.75
Meg Tillman,Small Business,Tables,11057.6
Julie Prescott,Home Office,Binders and Binder Accessories,11041.42
Alan Schoenberger,Corporate,Chairs & Chairmats,11041.1
Suzanne McNair,Small Business,Office Machines,11039.75
Roy Skaria,Corporate,Tables,11036.16
Shahid Collister,Home Office,Telephones and Communication,11023.97
Shirley Daniels,Corporate,Office Machines,11022.53
Sean Braxton,Small Business,Chairs & Chairmats,10990.67
Anthony Rawles,Small Business,Tables,10984.05
Jonathan Doherty,Corporate,Tables,10963.31
Duane Noonan,Corporate,Tables,10941.23
Alan Schoenberger,Corporate,Telephones and Communication,10935.34
Adam Shillingsburg,Corporate,Telephones and Communication,10920.65
Benjamin Venier,Small Business,Telephones and Communication,10899.9
Dorothy Badders,Home Office,Office Machines,10875.49
Rachel Payne,Consumer,Office Machines,10854.83
Deborah Brumfield,Corporate,Computer Peripherals,10823.84
Troy Blackwell,Home Office,Appliances,10794.75
Evan Minnotte,Corporate,Copiers and Fax,10791.38
Muhammed Lee,Consumer,Binders and Binder Accessories,10725.01
Vivian Mathis,Consumer,Tables,10714.78
Ken Dana,Small Business,Tables,10692.97
Hilary Holden,Corporate,Copiers and Fax,10663.63
Dan Lawera,Corporate,Chairs & Chairmats,10661.67
Shui Tom,Consumer,Telephones and Communication,10591.67
Michelle Ellison,Consumer,Copiers and Fax,10567.45
Nicole Hansen,Corporate,Chairs & Chairmats,10554.63
Erin Creighton,Corporate,Chairs & Chairmats,10547.43
Ionia McGrath,Home Office,Tables,10480.27
Jason Fortune,Corporate,Telephones and Communication,10474.41
Frank Hawley,Home Office,Tables,10462.54
Gary McGarr,Home Office,Chairs & Chairmats,10445.95
Adam Hart,Corporate,Telephones and Communication,10380.69
Lauren Leatherbury,Home Office,Office Machines,10380.34
Brad Thomas,Home Office,Tables,10372.86
Alejandro Grove,Consumer,Tables,10351.01
Jack Garza,Corporate,Tables,10348.73
Maribeth Dona,Home Office,Storage & Organization,10346.01
Tracy Zic,Consumer,Storage & Organization,10330.94
Christine Abelman,Corporate,Bookcases,10318.72
Christopher Martinez,Small Business,Tables,10307.01
Stephanie Phelps,Consumer,Copiers and Fax,10281.79
Jim Karlsson,Small Business,Chairs & Chairmats,10278.79
Bruce Degenhardt,Home Office,Tables,10261.25
Giulietta Dortch,Consumer,Office Machines,10253.75
Julia Barnett,Corporate,Appliances,10223.19
Rob Haberlin,Corporate,Chairs & Chairmats,10197.38
Tamara Manning,Corporate,Chairs & Chairmats,10195.45
Meg Tillman,Small Business,Telephones and Communication,10187.57
Art Miller,Corporate,Copiers and Fax,10134.55
Barry French,Consumer,Appliances,10123.02
Thais Sissman,Corporate,Chairs & Chairmats,10122.72
Jack O'Briant,Small Business,Appliances,10097.6
Harry Greene,Corporate,Office Machines,10071.09
Bryan Mills,Small Business,Office Machines,10051.52
Art Ferguson,Corporate,Tables,10006.28
Maureen Fritzler,Corporate,Binders and Binder Accessories,9995.16
Christopher Schild,Corporate,Telephones and Communication,9961.9
Denny Blanton,Home Office,Tables,9944.49
Tamara Manning,Corporate,Office Machines,9920.85
Jason Fortune,Corporate,Chairs & Chairmats,9915.78
Liz Carlisle,Corporate,Computer Peripherals,9891.58
Neoma Murray,Small Business,Office Machines,9871.42
Edward Becker,Home Office,Copiers and Fax,9862.51
Jennifer Halladay,Home Office,Binders and Binder Accessories,9855.45
Maria Bertelson,Corporate,Chairs & Chairmats,9843.11
Jennifer Patt,Home Office,Tables,9793.53
Michael Moore,Corporate,Chairs & Chairmats,9757.48
Lena Creighton,Home Office,Binders and Binder Accessories,9734.92
Rick Duston,Corporate,Tables,9708.64
Gary Hwang,Home Office,Office Machines,9704.37
Justin Knight,Corporate,Storage & Organization,9703.69
Greg Guthrie,Small Business,Appliances,9659.04
Jim Epp,Small Business,Storage & Organization,9642.74
Muhammed Lee,Consumer,Storage & Organization,9641.58
Julia Barnett,Corporate,Chairs & Chairmats,9626.06
Barry Weirich,Corporate,"Scissors, Rulers and Trimmers",9620.82
Susan MacKendrick,Corporate,Tables,9601.94
Eugene Hildebrand,Home Office,Tables,9579.62
Ralph Kennedy,Corporate,Computer Peripherals,9576.14
Phillip Flathmann,Small Business,Tables,9574.82
Emily Ducich,Consumer,Tables,9558.65
Karen Ferguson,Home Office,Storage & Organization,9554.72
Rick Bensley,Consumer,Tables,9541.04
Beth Fritzler,Small Business,Bookcases,9539.6
Sylvia Foulston,Home Office,Chairs & Chairmats,9517.6
Bobby Elias,Small Business,Office Machines,9505.96
Sylvia Foulston,Corporate,Tables,9502.74
Bill Eplett,Corporate,Tables,9501.62
Duane Benoit,Home Office,Appliances,9492.92
Susan Vittorini,Home Office,Appliances,9473.31
Alex Grayson,Consumer,Bookcases,9459.94
Pete Armstrong,Consumer,Chairs & Chairmats,9418.73
Dennis Bolton,Small Business,Office Machines,9418.14
Rob Haberlin,Corporate,Telephones and Communication,9415.8
Christina Vanderzanden,Small Business,Appliances,9414.29
Duane Noonan,Corporate,Office Machines,9396.41
Katherine Hughes,Consumer,Telephones and Communication,9395.92
Randy Ferguson,Corporate,Tables,9393.94
Arthur Gainer,Consumer,Appliances,9362.73
Barry Blumstein,Small Business,Chairs & Chairmats,9312.52
Jennifer Ferguson,Home Office,Office Machines,9304.2
Art Ferguson,Corporate,Telephones and Communication,9281.53
Becky Martin,Home Office,Copiers and Fax,9262.35
Michelle Lonsdale,Corporate,Chairs & Chairmats,9243.8
Fred Harton,Home Office,Storage & Organization,9239.34
Julia Barnett,Corporate,Tables,9225.65
Karen Daniels,Consumer,Tables,9214.95
Michelle Ellison,Consumer,Chairs & Chairmats,9206.04
Khloe Miller,Home Office,Tables,9194.8
Irene Maddox,Consumer,Office Machines,9172.32
Brooke Gillingham,Small Business,Tables,9171.87
Laurel Elliston,Home Office,Office Machines,9171.71
Ashley Jarboe,Small Business,Office Machines,9148.48
Dave Brooks,Corporate,Tables,9141.64
Arthur Wiediger,Corporate,Telephones and Communication,9129.85
Eugene Moren,Home Office,Chairs & Chairmats,9107.27
Annie Thurman,Home Office,Storage & Organization,9092.18
Alejandro Grove,Corporate,Appliances,9081.98
Carl Jackson,Home Office,Appliances,9062.73
Susan MacKendrick,Corporate,Appliances,9059.9
Michael Oakman,Small Business,Tables,9041.26
Nancy Lomonaco,Home Office,Appliances,9013.58
Guy Thornton,Corporate,Appliances,8984.46
Gary Zandusky,Home Office,Storage & Organization,8905.53
Alan Barnes,Corporate,Chairs & Chairmats,8901.78
Kristen Hastings,Corporate,Chairs & Chairmats,8875.17
Russell Applegate,Small Business,Tables,8865.1
Noel Staavos,Home Office,Telephones and Communication,8863.01
Philip Fox,Home Office,Storage & Organization,8842.98
Dana Kaydos,Corporate,Tables,8817.71
Ruben Ausman,Corporate,Telephones and Communication,8807.26
Erica Bern,Corporate,Binders and Binder Accessories,8796.05
Julia Barnett,Home Office,Telephones and Communication,8790.57
Ed Braxton,Home Office,Storage & Organization,8789.82
Stephanie Ulpright,Consumer,Tables,8789.54
Ralph Knight,Consumer,Telephones and Communication,8782.8
Frank Merwin,Consumer,Office Machines,8767.62
Georgia Rosenberg,Consumer,Telephones and Communication,8760.61
Deborah Brumfield,Corporate,Telephones and Communication,8752.81
Darrin Sayre,Consumer,Office Machines,8719.69
Neil French,Consumer,Office Machines,8718.46
Harold Pawlan,Small Business,Computer Peripherals,8699.57
Ed Braxton,Home Office,Bookcases,8678.75
Tracy Collins,Consumer,Binders and Binder Accessories,8673.9
Sonia Cooley,Corporate,Tables,8617.35
Cathy Armstrong,Consumer,Bookcases,8581.25
Harold Ryan,Home Office,Chairs & Chairmats,8573.11
Charles Crestani,Consumer,Tables,8570.55
Brosina Hoffman,Consumer,Chairs & Chairmats,8550.37
Vicky Freymann,Home Office,Office Furnishings,8549.04
Bobby Trafton,Small Business,Tables,8532.15
Damala Kotsonis,Corporate,Telephones and Communication,8502.41
John Lucas,Small Business,Telephones and Communication,8469.33
Roland Black,Small Business,Office Machines,8468.63
Dave Poirier,Small Business,Binders and Binder Accessories,8453.08
Carlos Meador,Corporate,Tables,8419.75
Edward Nazzal,Home Office,Appliances,8413.23
Jeremy Lonsdale,Corporate,Chairs & Chairmats,8387.1
Grant Carroll,Small Business,Bookcases,8380.22
Karen Seio,Consumer,Bookcases,8367.68
Corinna Mitchell,Corporate,Chairs & Chairmats,8363.65
Jack O'Briant,Consumer,Tables,8325.91
Fred McMath,Small Business,Bookcases,8305.19
Skye Norling,Home Office,Storage & Organization,8295.29
Amy Hunt,Small Business,Storage & Organization,8273.99
Dianna Vittorini,Corporate,Office Machines,8270.57
Liz Pelletier,Corporate,Telephones and Communication,8265.11
Max Ludwig,Corporate,Tables,8252.39
Barry Gonzalez,Consumer,Tables,8246.86
Alejandro Savely,Corporate,Storage & Organization,8230.77
Karen Carlisle,Home Office,Chairs & Chairmats,8225.24
Erica Bern,Corporate,Telephones and Communication,8221.29
Christy Brittain,Consumer,Tables,8216.39
Jonathan Doherty,Corporate,Chairs & Chairmats,8213.37
Beth Thompson,Corporate,Tables,8189.29
Paul Stevenson,Corporate,Storage & Organization,8188.61
Lindsay Williams,Corporate,Office Machines,8188.19
Maureen Gastineau,Consumer,Storage & Organization,8177.07
Pauline Webber,Consumer,Tables,8168.38
Julia West,Corporate,Chairs & Chairmats,8159.82
Aleksandra Gannaway,Corporate,Telephones and Communication,8142.44
Christina DeMoss,Home Office,Storage & Organization,8132.28
Nick Radford,Corporate,Storage & Organization,8129.36
Steve Nguyen,Small Business,Storage & Organization,8127.32
Harold Ryan,Home Office,Computer Peripherals,8107.84
Ed Braxton,Home Office,Tables,8102.61
Anne Pryor,Consumer,Telephones and Communication,8096.47
Jill Matthias,Consumer,Bookcases,8095.55
Michelle Lonsdale,Home Office,Telephones and Communication,8071.46
Nicole Brennan,Home Office,Storage & Organization,8048.45
Tom Ashbrook,Home Office,Office Furnishings,8035.13
Amy Hunt,Home Office,Telephones and Communication,8034.63
Michelle Moray,Corporate,Chairs & Chairmats,8023.59
Neil French,Consumer,Tables,8014.62
Victoria Pisteka,Corporate,Chairs & Chairmats,7987.43
Lisa Hazard,Home Office,Telephones and Communication,7982.23
Julia Barnett,Home Office,Computer Peripherals,7968.81
Nathan Mautz,Corporate,Telephones and Communication,7965.9
Duane Noonan,Corporate,Bookcases,7937.59
Roy Collins,Corporate,Computer Peripherals,7933.42
Edward Nazzal,Home Office,Office Furnishings,7901.4
Harold Engle,Home Office,Binders and Binder Accessories,7894.72
Benjamin Venier,Small Business,Appliances,7871.91
Karen Seio,Consumer,Chairs & Chairmats,7869.22
Logan Currie,Small Business,Chairs & Chairmats,7862.14
Tracy Collins,Corporate,Appliances,7841.57
Nathan Gelder,Home Office,Appliances,7837.44
Maria Bertelson,Corporate,Office Machines,7832.16
Tanja Norvell,Consumer,Computer Peripherals,7827.51
Sylvia Foulston,Consumer,Chairs & Chairmats,7817.45
Philisse Overcash,Small Business,Copiers and Fax,7813.7
Julia Dunbar,Consumer,Telephones and Communication,7802.62
Joy Smith,Consumer,Appliances,7783.36
Chris Selesnick,Home Office,Telephones and Communication,7778.76
Brosina Hoffman,Consumer,Binders and Binder Accessories,7767.02
Helen Abelman,Home Office,Appliances,7765.13
Carl Weiss,Consumer,Telephones and Communication,7764.98
Xylona Price,Corporate,Telephones and Communication,7760.19
Cynthia Arntzen,Small Business,Telephones and Communication,7747.72
Steven Roelle,Small Business,Telephones and Communication,7745.33
Helen Wasserman,Home Office,Storage & Organization,7731.09
Nora Price,Small Business,Telephones and Communication,7730.62
Brendan Murry,Corporate,Bookcases,7725.66
Grant Thornton,Corporate,Telephones and Communication,7714.2
Tony Molinari,Corporate,Chairs & Chairmats,7713.8
Brendan Murry,Corporate,Storage & Organization,7685.62
Mathew Reese,Small Business,Computer Peripherals,7682.18
Arthur Prichep,Home Office,Binders and Binder Accessories,7679.93
Sanjit Jacobs,Consumer,Tables,7668.55
Sheri Gordon,Corporate,Tables,7663.74
Vivek Grady,Home Office,Binders and Binder Accessories,7663.41
Dianna Wilson,Small Business,Chairs & Chairmats,7661.04
Eric Barreto,Small Business,Chairs & Chairmats,7639.91
Clytie Kelty,Small Business,Office Machines,7603.39
Nicole Brennan,Home Office,Chairs & Chairmats,7598.2
Barbara Fisher,Small Business,Telephones and Communication,7589.23
Ritsa Hightower,Corporate,Tables,7556.61
Sandra Glassco,Home Office,Chairs & Chairmats,7547.14
Doug Jacobs,Home Office,Envelopes,7522.8
Joseph Airdo,Corporate,Appliances,7512.03
Bradley Drucker,Small Business,Office Machines,7507.53
David Kendrick,Home Office,Office Furnishings,7499.8
Sylvia Foulston,Corporate,Telephones and Communication,7499.51
Quincy Jones,Small Business,Tables,7497.08
David Philippe,Consumer,Office Machines,7486.09
Chuck Clark,Corporate,Tables,7485.97
